,Group,Deelnemer,T1_KQ_Total_Score,T2_KQ_Total_Score,Score_Difference,T-Test Statistic,T-Test P-Value,T-Test P-Value Corrected,Mann-Whitney Statistic,Mann-Whitney P-Value,Mann-Whitney P-Value Corrected
0,Intervention,2018001,11,0,-11,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
1,Intervention,2018002,12,14,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
2,Intervention,2018003,6,0,-6,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
3,Intervention,2018004,13,0,-13,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
4,Intervention,2018005,10,0,-10,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
5,Intervention,2018006,12,0,-12,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
6,Intervention,2018007,8,0,-8,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
7,Intervention,2018008,7,10,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
8,Intervention,2018009,0,0,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
9,Intervention,2018010,0,0,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
10,Intervention,2018011,12,11,-1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
11,Intervention,2018015,11,12,1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
12,Intervention,2018016,7,10,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
13,Intervention,2018018,10,12,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
14,Intervention,2018019,12,14,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
15,Intervention,2018020,13,17,4,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
16,Intervention,2018021,6,10,4,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
17,Intervention,2018022,10,13,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
